,date,count,total_count,ratio,geo
1,5/25/2023 0:00,3,14544,0.000206271,US-AK
2,5/26/2023 0:00,1,13029,7.68E-05,US-AK
3,5/27/2023 0:00,0,6214,0,US-AK
4,5/28/2023 0:00,1,6308,0.000158529,US-AK
5,5/29/2023 0:00,1,7885,0.000126823,US-AK
6,5/30/2023 0:00,2,10082,0.000198373,US-AK
7,5/31/2023 0:00,0,14085,0,US-AK
8,6/1/2023 0:00,0,13374,0,US-AK
9,6/2/2023 0:00,0,13058,0,US-AK
10,6/3/2023 0:00,0,6216,0,US-AK
11,6/4/2023 0:00,0,6555,0,US-AK
12,6/5/2023 0:00,0,13839,0,US-AK
13,6/6/2023 0:00,1,14538,6.88E-05,US-AK
14,6/7/2023 0:00,0,14553,0,US-AK
15,6/8/2023 0:00,1,13661,7.32E-05,US-AK
16,6/9/2023 0:00,0,14081,0,US-AK
17,6/10/2023 0:00,0,6373,0,US-AK
18,6/11/2023 0:00,1,6666,0.000150015,US-AK
19,6/12/2023 0:00,0,13242,0,US-AK
20,6/13/2023 0:00,1,15043,6.65E-05,US-AK
21,6/14/2023 0:00,1,15043,6.65E-05,US-AK
22,6/15/2023 0:00,3,15295,0.000196143,US-AK
23,6/16/2023 0:00,4,14113,0.000283427,US-AK
24,6/17/2023 0:00,1,6527,0.00015321,US-AK
25,6/18/2023 0:00,2,6421,0.000311478,US-AK
26,6/19/2023 0:00,4,9826,0.000407083,US-AK
27,6/20/2023 0:00,2,13864,0.000144259,US-AK
28,6/21/2023 0:00,4,14444,0.000276932,US-AK
29,6/22/2023 0:00,6,15087,0.000397693,US-AK
30,6/23/2023 0:00,4,13524,0.00029577,US-AK
31,6/24/2023 0:00,0,6198,0,US-AK
32,6/25/2023 0:00,1,6470,0.00015456,US-AK
33,6/26/2023 0:00,1,13374,7.48E-05,US-AK
34,6/27/2023 0:00,1,14850,6.73E-05,US-AK
35,1/1/2019 0:00,0,118,0,US-AK
36,1/2/2019 0:00,0,214,0,US-AK
37,1/3/2019 0:00,0,221,0,US-AK
38,1/4/2019 0:00,0,218,0,US-AK
39,1/5/2019 0:00,0,129,0,US-AK
40,1/6/2019 0:00,0,102,0,US-AK
41,1/7/2019 0:00,0,242,0,US-AK
42,1/8/2019 0:00,0,283,0,US-AK
43,1/9/2019 0:00,0,332,0,US-AK
44,1/10/2019 0:00,0,343,0,US-AK
45,1/11/2019 0:00,0,322,0,US-AK
46,1/12/2019 0:00,0,126,0,US-AK
47,1/13/2019 0:00,0,128,0,US-AK
48,1/14/2019 0:00,0,244,0,US-AK
49,1/15/2019 0:00,0,250,0,US-AK
50,1/16/2019 0:00,0,285,0,US-AK
51,1/17/2019 0:00,0,245,0,US-AK
52,1/18/2019 0:00,0,320,0,US-AK
53,1/19/2019 0:00,0,180,0,US-AK
54,1/20/2019 0:00,0,130,0,US-AK
55,1/21/2019 0:00,0,203,0,US-AK
56,1/22/2019 0:00,0,267,0,US-AK
57,1/23/2019 0:00,0,335,0,US-AK
58,1/24/2019 0:00,0,369,0,US-AK
59,1/25/2019 0:00,0,356,0,US-AK
60,1/26/2019 0:00,0,175,0,US-AK
61,1/27/2019 0:00,0,143,0,US-AK
62,1/28/2019 0:00,0,274,0,US-AK
63,1/29/2019 0:00,0,341,0,US-AK
64,1/30/2019 0:00,0,339,0,US-AK
65,1/31/2019 0:00,0,379,0,US-AK
66,2/1/2019 0:00,0,403,0,US-AK
67,2/2/2019 0:00,0,170,0,US-AK
68,2/3/2019 0:00,0,141,0,US-AK
69,2/4/2019 0:00,0,297,0,US-AK
70,2/5/2019 0:00,0,365,0,US-AK
71,2/6/2019 0:00,0,369,0,US-AK
72,2/7/2019 0:00,0,327,0,US-AK
73,2/8/2019 0:00,0,366,0,US-AK
