,date,count,total_count,ratio,geo
1,1/1/2019 0:00,0,118,0,US-AK
2,1/2/2019 0:00,0,214,0,US-AK
3,1/3/2019 0:00,0,221,0,US-AK
4,1/4/2019 0:00,0,218,0,US-AK
5,1/5/2019 0:00,0,129,0,US-AK
6,1/6/2019 0:00,0,102,0,US-AK
7,1/7/2019 0:00,0,242,0,US-AK
8,1/8/2019 0:00,0,283,0,US-AK
9,1/9/2019 0:00,0,332,0,US-AK
10,1/10/2019 0:00,0,343,0,US-AK
11,1/11/2019 0:00,0,322,0,US-AK
12,1/12/2019 0:00,0,126,0,US-AK
13,1/13/2019 0:00,0,128,0,US-AK
14,1/14/2019 0:00,0,244,0,US-AK
15,1/15/2019 0:00,0,250,0,US-AK
16,1/16/2019 0:00,0,285,0,US-AK
17,1/17/2019 0:00,0,245,0,US-AK
18,1/18/2019 0:00,0,320,0,US-AK
19,1/19/2019 0:00,0,180,0,US-AK
20,1/20/2019 0:00,0,130,0,US-AK
21,1/21/2019 0:00,0,203,0,US-AK
22,1/22/2019 0:00,0,267,0,US-AK
23,1/23/2019 0:00,0,335,0,US-AK
24,1/24/2019 0:00,0,369,0,US-AK
25,1/25/2019 0:00,0,356,0,US-AK
26,1/26/2019 0:00,0,175,0,US-AK
27,1/27/2019 0:00,0,143,0,US-AK
28,1/28/2019 0:00,0,274,0,US-AK
29,1/29/2019 0:00,0,341,0,US-AK
30,1/30/2019 0:00,0,339,0,US-AK
31,1/31/2019 0:00,0,379,0,US-AK
32,2/1/2019 0:00,0,403,0,US-AK
33,2/2/2019 0:00,0,170,0,US-AK
34,2/3/2019 0:00,0,141,0,US-AK
35,2/4/2019 0:00,0,297,0,US-AK
36,2/5/2019 0:00,0,365,0,US-AK
37,2/6/2019 0:00,0,369,0,US-AK
38,2/7/2019 0:00,0,327,0,US-AK
39,2/8/2019 0:00,0,366,0,US-AK
40,2/9/2019 0:00,0,228,0,US-AK
41,2/10/2019 0:00,0,216,0,US-AK
42,2/11/2019 0:00,0,400,0,US-AK
43,2/12/2019 0:00,0,360,0,US-AK
44,2/13/2019 0:00,0,332,0,US-AK
45,2/14/2019 0:00,0,258,0,US-AK
46,2/15/2019 0:00,0,259,0,US-AK
47,2/16/2019 0:00,0,156,0,US-AK
48,2/17/2019 0:00,0,133,0,US-AK
49,2/18/2019 0:00,0,187,0,US-AK
50,2/19/2019 0:00,0,203,0,US-AK
51,2/20/2019 0:00,0,275,0,US-AK
52,2/21/2019 0:00,0,254,0,US-AK
53,2/22/2019 0:00,0,279,0,US-AK
54,2/23/2019 0:00,0,137,0,US-AK
55,2/24/2019 0:00,0,132,0,US-AK
56,2/25/2019 0:00,0,425,0,US-AK
57,2/26/2019 0:00,0,465,0,US-AK
58,2/27/2019 0:00,0,471,0,US-AK
59,2/28/2019 0:00,0,529,0,US-AK
60,3/1/2019 0:00,0,558,0,US-AK
61,3/2/2019 0:00,0,274,0,US-AK
62,3/3/2019 0:00,0,222,0,US-AK
63,3/4/2019 0:00,0,387,0,US-AK
64,3/5/2019 0:00,0,462,0,US-AK
65,3/6/2019 0:00,0,533,0,US-AK
66,3/7/2019 0:00,0,514,0,US-AK
67,3/8/2019 0:00,0,521,0,US-AK
68,3/9/2019 0:00,0,231,0,US-AK
69,3/10/2019 0:00,0,208,0,US-AK
70,3/11/2019 0:00,0,313,0,US-AK
71,3/12/2019 0:00,0,396,0,US-AK
72,3/13/2019 0:00,0,486,0,US-AK
73,3/14/2019 0:00,0,374,0,US-AK
74,3/15/2019 0:00,0,435,0,US-AK
75,3/16/2019 0:00,0,220,0,US-AK
76,3/17/2019 0:00,0,192,0,US-AK
77,3/18/2019 0:00,0,255,0,US-AK
78,3/19/2019 0:00,0,347,0,US-AK
79,3/20/2019 0:00,0,424,0,US-AK
80,3/21/2019 0:00,0,303,0,US-AK
81,3/22/2019 0:00,0,194,0,US-AK
82,3/23/2019 0:00,0,302,0,US-AK
83,3/24/2019 0:00,0,296,0,US-AK
84,3/25/2019 0:00,0,198,0,US-AK
85,3/26/2019 0:00,0,179,0,US-AK
86,3/27/2019 0:00,0,187,0,US-AK
87,3/28/2019 0:00,0,135,0,US-AK
88,3/29/2019 0:00,0,142,0,US-AK
89,3/30/2019 0:00,0,91,0,US-AK
90,3/31/2019 0:00,0,107,0,US-AK
91,4/1/2019 0:00,0,100,0,US-AK
92,4/2/2019 0:00,0,83,0,US-AK
93,4/3/2019 0:00,0,170,0,US-AK
94,4/4/2019 0:00,0,172,0,US-AK
95,4/5/2019 0:00,0,342,0,US-AK
96,4/6/2019 0:00,0,197,0,US-AK
97,4/7/2019 0:00,0,206,0,US-AK
98,4/8/2019 0:00,0,230,0,US-AK
99,4/9/2019 0:00,0,535,0,US-AK
100,4/10/2019 0:00,0,479,0,US-AK
101,4/11/2019 0:00,0,501,0,US-AK
102,4/12/2019 0:00,0,516,0,US-AK
103,4/13/2019 0:00,0,243,0,US-AK
104,4/14/2019 0:00,0,172,0,US-AK
105,4/15/2019 0:00,0,366,0,US-AK
106,4/16/2019 0:00,0,354,0,US-AK
107,4/17/2019 0:00,0,510,0,US-AK
108,4/18/2019 0:00,0,492,0,US-AK
109,4/19/2019 0:00,0,443,0,US-AK
110,4/20/2019 0:00,0,153,0,US-AK
111,4/21/2019 0:00,0,94,0,US-AK
112,4/22/2019 0:00,0,306,0,US-AK
113,4/23/2019 0:00,0,417,0,US-AK
114,4/24/2019 0:00,0,442,0,US-AK
115,4/25/2019 0:00,0,423,0,US-AK
116,4/26/2019 0:00,0,544,0,US-AK
117,4/27/2019 0:00,0,203,0,US-AK
118,4/28/2019 0:00,0,171,0,US-AK
119,4/29/2019 0:00,0,438,0,US-AK
120,4/30/2019 0:00,0,510,0,US-AK
121,5/1/2019 0:00,0,475,0,US-AK
122,5/2/2019 0:00,0,529,0,US-AK
123,5/3/2019 0:00,0,463,0,US-AK
124,5/4/2019 0:00,0,252,0,US-AK
125,5/5/2019 0:00,0,302,0,US-AK
126,5/6/2019 0:00,0,347,0,US-AK
127,5/7/2019 0:00,0,356,0,US-AK
128,5/8/2019 0:00,0,469,0,US-AK
129,5/9/2019 0:00,0,378,0,US-AK
130,5/10/2019 0:00,0,546,0,US-AK
131,5/11/2019 0:00,0,191,0,US-AK
132,5/12/2019 0:00,0,190,0,US-AK
133,5/13/2019 0:00,0,443,0,US-AK
134,5/14/2019 0:00,0,423,0,US-AK
135,5/15/2019 0:00,0,500,0,US-AK
136,5/16/2019 0:00,0,560,0,US-AK
137,5/17/2019 0:00,0,497,0,US-AK
138,5/18/2019 0:00,0,318,0,US-AK
139,5/19/2019 0:00,0,271,0,US-AK
140,5/20/2019 0:00,0,480,0,US-AK
141,5/21/2019 0:00,0,385,0,US-AK
142,5/22/2019 0:00,0,539,0,US-AK
143,5/23/2019 0:00,0,572,0,US-AK
144,5/24/2019 0:00,0,483,0,US-AK
145,5/25/2019 0:00,0,252,0,US-AK
146,5/26/2019 0:00,0,201,0,US-AK
147,5/27/2019 0:00,0,284,0,US-AK
148,5/28/2019 0:00,0,432,0,US-AK
149,5/29/2019 0:00,0,557,0,US-AK
150,5/30/2019 0:00,0,494,0,US-AK
151,5/31/2019 0:00,0,569,0,US-AK
152,6/1/2019 0:00,0,236,0,US-AK
153,6/2/2019 0:00,0,214,0,US-AK
154,6/3/2019 0:00,0,436,0,US-AK
155,6/4/2019 0:00,0,465,0,US-AK
156,6/5/2019 0:00,0,494,0,US-AK
157,6/6/2019 0:00,0,624,0,US-AK
158,6/7/2019 0:00,0,534,0,US-AK
159,6/8/2019 0:00,0,276,0,US-AK
160,6/9/2019 0:00,0,317,0,US-AK
161,6/10/2019 0:00,0,469,0,US-AK
162,6/11/2019 0:00,0,500,0,US-AK
163,6/12/2019 0:00,0,547,0,US-AK
164,6/13/2019 0:00,0,482,0,US-AK
165,6/14/2019 0:00,0,553,0,US-AK
166,6/15/2019 0:00,0,258,0,US-AK
167,6/16/2019 0:00,0,248,0,US-AK
168,6/17/2019 0:00,0,464,0,US-AK
169,6/18/2019 0:00,0,530,0,US-AK
170,6/19/2019 0:00,0,493,0,US-AK
171,6/20/2019 0:00,0,498,0,US-AK
172,6/21/2019 0:00,0,569,0,US-AK
173,6/22/2019 0:00,0,206,0,US-AK
174,6/23/2019 0:00,0,223,0,US-AK
175,6/24/2019 0:00,0,334,0,US-AK
176,6/25/2019 0:00,0,416,0,US-AK
177,6/26/2019 0:00,0,557,0,US-AK
178,6/27/2019 0:00,0,625,0,US-AK
179,6/28/2019 0:00,0,574,0,US-AK
180,6/29/2019 0:00,0,242,0,US-AK
181,6/30/2019 0:00,0,218,0,US-AK
182,7/1/2019 0:00,0,484,0,US-AK
183,7/2/2019 0:00,0,456,0,US-AK
184,7/3/2019 0:00,0,501,0,US-AK
185,7/4/2019 0:00,0,194,0,US-AK
186,7/5/2019 0:00,0,310,0,US-AK
187,7/6/2019 0:00,0,156,0,US-AK
188,7/7/2019 0:00,0,112,0,US-AK
189,7/8/2019 0:00,0,376,0,US-AK
190,7/9/2019 0:00,0,408,0,US-AK
191,7/10/2019 0:00,0,569,0,US-AK
192,7/11/2019 0:00,0,498,0,US-AK
193,7/12/2019 0:00,0,531,0,US-AK
194,7/13/2019 0:00,0,227,0,US-AK
195,7/14/2019 0:00,0,221,0,US-AK
196,7/15/2019 0:00,0,406,0,US-AK
197,7/16/2019 0:00,0,429,0,US-AK
198,7/17/2019 0:00,0,534,0,US-AK
199,7/18/2019 0:00,0,400,0,US-AK
200,7/19/2019 0:00,0,464,0,US-AK
201,7/20/2019 0:00,0,239,0,US-AK
202,7/21/2019 0:00,0,266,0,US-AK
203,7/22/2019 0:00,0,420,0,US-AK
204,7/23/2019 0:00,0,422,0,US-AK
205,7/24/2019 0:00,0,543,0,US-AK
206,7/25/2019 0:00,0,512,0,US-AK
207,7/26/2019 0:00,0,556,0,US-AK
208,7/27/2019 0:00,0,220,0,US-AK
209,7/28/2019 0:00,0,197,0,US-AK
210,7/29/2019 0:00,0,448,0,US-AK
211,7/30/2019 0:00,0,453,0,US-AK
212,7/31/2019 0:00,0,576,0,US-AK
213,8/1/2019 0:00,0,494,0,US-AK
214,8/2/2019 0:00,0,477,0,US-AK
215,8/3/2019 0:00,0,226,0,US-AK
216,8/4/2019 0:00,0,324,0,US-AK
217,8/5/2019 0:00,0,343,0,US-AK
218,8/6/2019 0:00,0,377,0,US-AK
219,8/7/2019 0:00,0,431,0,US-AK
220,8/8/2019 0:00,0,493,0,US-AK
221,8/9/2019 0:00,0,458,0,US-AK
222,8/10/2019 0:00,0,183,0,US-AK
223,8/11/2019 0:00,0,157,0,US-AK
224,8/12/2019 0:00,1,404,0.002475248,US-AK
225,8/13/2019 0:00,0,398,0,US-AK
226,8/14/2019 0:00,0,348,0,US-AK
227,8/15/2019 0:00,0,378,0,US-AK
228,8/16/2019 0:00,0,428,0,US-AK
229,8/17/2019 0:00,0,183,0,US-AK
230,8/18/2019 0:00,0,248,0,US-AK
231,8/19/2019 0:00,0,530,0,US-AK
232,8/20/2019 0:00,0,494,0,US-AK
233,8/21/2019 0:00,0,471,0,US-AK
234,8/22/2019 0:00,0,482,0,US-AK
235,8/23/2019 0:00,0,441,0,US-AK
236,8/24/2019 0:00,0,172,0,US-AK
237,8/25/2019 0:00,0,238,0,US-AK
238,8/26/2019 0:00,0,393,0,US-AK
239,8/27/2019 0:00,0,474,0,US-AK
240,8/28/2019 0:00,0,132,0,US-AK
