"","date","hits","keyword","geo","time","gprop","category"
"1",2019-01-06,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"2",2019-01-13,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"3",2019-01-20,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"4",2019-01-27,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"5",2019-02-03,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"6",2019-02-10,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"7",2019-02-17,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"8",2019-02-24,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"9",2019-03-03,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"10",2019-03-10,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"11",2019-03-17,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"12",2019-03-24,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"13",2019-03-31,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"14",2019-04-07,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"15",2019-04-14,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"16",2019-04-21,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"17",2019-04-28,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"18",2019-05-05,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"19",2019-05-12,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"20",2019-05-19,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"21",2019-05-26,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"22",2019-06-02,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"23",2019-06-09,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"24",2019-06-16,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"25",2019-06-23,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"26",2019-06-30,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"27",2019-07-07,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"28",2019-07-14,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"29",2019-07-21,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"30",2019-07-28,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"31",2019-08-04,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"32",2019-08-11,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"33",2019-08-18,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"34",2019-08-25,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"35",2019-09-01,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"36",2019-09-08,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"37",2019-09-15,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"38",2019-09-22,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"39",2019-09-29,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"40",2019-10-06,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"41",2019-10-13,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"42",2019-10-20,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"43",2019-10-27,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"44",2019-11-03,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"45",2019-11-10,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"46",2019-11-17,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"47",2019-11-24,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"48",2019-12-01,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"49",2019-12-08,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"50",2019-12-15,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"51",2019-12-22,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"52",2019-12-29,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"53",2020-01-05,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"54",2020-01-12,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"55",2020-01-19,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"56",2020-01-26,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"57",2020-02-02,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"58",2020-02-09,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"59",2020-02-16,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"60",2020-02-23,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"61",2020-03-01,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"62",2020-03-08,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"63",2020-03-15,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"64",2020-03-22,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"65",2020-03-29,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"66",2020-04-05,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"67",2020-04-12,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"68",2020-04-19,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"69",2020-04-26,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"70",2020-05-03,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"71",2020-05-10,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"72",2020-05-17,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"73",2020-05-24,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"74",2020-05-31,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"75",2020-06-07,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"76",2020-06-14,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"77",2020-06-21,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"78",2020-06-28,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"79",2020-07-05,"25","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"80",2020-07-12,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"81",2020-07-19,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"82",2020-07-26,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"83",2020-08-02,"39","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"84",2020-08-09,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"85",2020-08-16,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"86",2020-08-23,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"87",2020-08-30,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"88",2020-09-06,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"89",2020-09-13,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"90",2020-09-20,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"91",2020-09-27,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"92",2020-10-04,"99","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"93",2020-10-11,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"94",2020-10-18,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"95",2020-10-25,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"96",2020-11-01,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"97",2020-11-08,"35","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"98",2020-11-15,"100","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"99",2020-11-22,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"100",2020-11-29,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"101",2020-12-06,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"102",2020-12-13,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"103",2020-12-20,"35","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"104",2020-12-27,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"105",2021-01-03,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"106",2021-01-10,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"107",2021-01-17,"66","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"108",2021-01-24,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"109",2021-01-31,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"110",2021-02-07,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"111",2021-02-14,"60","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"112",2021-02-21,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
"113",2021-02-28,"0","remdesivir","US-AK","2019-01-01 2023-6-27","web",0
